b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
371,228,257,69780059,0.7935824151063968,0.7762328932977849,0.30625,0.7813223565731926,8,203.23599773598835,"[897.98, 701.13, 740.67]"
356,237,223,3719305835,0.7447381385543909,0.7338991885413959,0.4,0.71671388101983,8,201.80271949479356,"[877.11, 713.38, 694.33]"
366,235,220,3074387977,0.7537229764787271,0.7349251988931166,0.4125,0.6769308430085815,8,204.12142010824755,"[891.02, 710.65, 690.25]"
365,279,222,827465650,0.6658917342191593,0.6641809277484431,0.53125,0.6092064253176697,8,204.0607069223188,"[889.63, 770.79, 692.97]"
345,223,225,563991899,0.6947919901839186,0.6865575880105477,0.4875,0.631630648330059,8,202.6886418843642,"[861.84, 694.33, 697.05]"
393,231,208,1873991443,0.7648262548262548,0.7508365508365509,0.3875,0.702471003530005,8,203.3759245481342,"[928.68, 705.21, 673.97]"
370,229,238,745329883,0.7207263146555594,0.6925276934953949,0.44375,0.7002479152580573,9,202.05598240485415,"[896.59, 702.49, 714.74]"
363,211,223,1434902895,0.7730042800934905,0.7539167908100232,0.375,0.67982924226254,9,202.27697322890162,"[886.84, 678.04, 694.33]"
406,232,221,192929566,0.8160818742440167,0.7957740177109215,0.34375,0.6975756060984755,9,205.26678285887465,"[946.88, 706.57, 691.61]"
363,232,223,2252308831,0.7390246854883418,0.7209111634449303,0.43125,0.661553445337229,9,202.3465360631235,"[886.84, 706.57, 694.33]"
364,231,226,3295207101,0.7267498364308324,0.7227617548761296,0.4625,0.6263520157325466,9,202.66454077791423,"[888.23, 705.21, 698.41]"
364,231,232,2049519124,0.7437148902939767,0.7418013568163454,0.43125,0.6520193040386081,9,203.57883970672265,"[888.23, 705.21, 706.57]"
370,230,262,746440703,0.7095171614391512,0.6968383667083498,0.44375,0.6785806119825148,9,203.5864509548992,"[896.59, 703.85, 747.5]"
364,227,219,1341155755,0.7689958730441495,0.7568535178092495,0.3625,0.7271349166245579,9,204.2613221281208,"[888.23, 699.77, 688.9]"
373,230,252,304513676,0.7585430294231673,0.7403824104395741,0.4125,0.6658227848101266,9,203.16783454315737,"[900.77, 703.85, 733.84]"
361,214,227,1847889311,0.7378833269156719,0.732966243101014,0.425,0.6860133206470028,9,201.42900599492714,"[884.06, 682.11, 699.77]"
362,231,224,3408352281,0.8127984084880637,0.8048463748894783,0.2875,0.7816826411075612,9,202.53928198572248,"[885.45, 705.21, 695.69]"
364,246,196,1208909017,0.7244611417204274,0.6879806475602326,0.45,0.6755725190839694,9,202.88327775895596,"[888.23, 725.65, 657.72]"
364,234,224,2707884616,0.743322102425876,0.7343778077268643,0.4,0.6986166007905139,9,203.4289447576739,"[888.23, 709.29, 695.69]"
364,234,216,1203653448,0.715564910669561,0.7048685089330439,0.51875,0.562827879090682,9,204.71278684213758,"[888.23, 709.29, 684.82]"
381,251,239,1814615397,0.7735754906883365,0.7617871638550403,0.35,0.751219512195122,9,203.66566728195176,"[911.92, 732.47, 716.1]"
154,247,211,148112796,0.7312444083520295,0.7214304066361105,0.425,0.6867104598281961,9,207.41556993685663,"[601.11, 727.01, 678.04]"
363,233,224,3778191054,0.6994352134527801,0.6983209048596167,0.43125,0.6955974842767296,9,202.58249328192323,"[886.84, 707.93, 695.69]"
363,237,224,284395767,0.752361269468516,0.7377442702324095,0.4125,0.6659919028340081,9,202.8709358200431,"[886.84, 713.38, 695.69]"
359,211,225,795712525,0.7211837849894056,0.7028800044608007,0.43125,0.6820310574315998,10,203.3857295010239,"[881.28, 678.04, 697.05]"
365,233,226,147713682,0.7989219103584204,0.7990884839058063,0.30625,0.7798025816249051,10,205.94820743985474,"[889.63, 707.93, 698.41]"
364,232,223,200344765,0.7761120779141478,0.7696528159410555,0.36875,0.7017588580168239,10,206.3779367171228,"[888.23, 706.57, 694.33]"
367,232,225,825912675,0.7381283068783069,0.7379298941798942,0.4125,0.6894736842105262,10,206.49118635524064,"[892.41, 706.57, 697.05]"
363,221,222,3214044939,0.7551920585619583,0.7260682045278144,0.4,0.6715927750410509,10,206.9509923211299,"[886.84, 691.61, 692.97]"
363,220,225,137581874,0.7579128124907685,0.7324158179145971,0.38125,0.7020827840759294,10,206.3046762100421,"[886.84, 690.25, 697.05]"
381,230,219,789376540,0.7444210390238889,0.7394120396304779,0.4,0.6863935255437532,10,205.57695859437808,"[911.92, 703.85, 688.9]"
388,232,227,3446468687,0.7775094739578647,0.7630368992744131,0.35625,0.7178358788506343,10,205.65006448095664,"[921.69, 706.57, 699.77]"
365,261,228,1453820376,0.7995719498276367,0.7933795617184791,0.29375,0.7974878236349654,10,203.5971890958026,"[889.63, 746.14, 701.13]"
378,255,235,1765360824,0.7553164792266939,0.7416446814950393,0.38125,0.7119127952245003,10,203.74587851390243,"[907.74, 737.93, 710.65]"
427,207,222,2063248235,0.75001139658459,0.7372457999235136,0.3875,0.71,10,205.4861963330768,"[976.35, 672.62, 692.97]"
341,235,221,469844378,0.7413453257463173,0.7310250878650242,0.45,0.6310679611650485,10,205.0200469889678,"[856.29, 710.65, 691.61]"
355,280,224,2921013956,0.7440259674554424,0.7317454067519784,0.425,0.6816479400749065,10,202.62915724283084,"[875.72, 772.17, 695.69]"
348,218,216,1661563331,0.7186257366060321,0.697060210360703,0.425,0.6835443037974683,10,204.21307032182813,"[866.0, 687.54, 684.82]"
351,254,219,2609815085,0.7465212287300453,0.7387011749678709,0.34375,0.7950530035335689,11,203.44159503187984,"[870.16, 736.57, 688.9]"
355,246,223,1286768973,0.7777028256399993,0.7658809580126513,0.4,0.6625310173697271,11,206.97316714003682,"[875.72, 725.65, 694.33]"
368,216,220,1774140763,0.7305533431290424,0.7098667737786262,0.45,0.6430367018602312,11,201.8324197679758,"[893.8, 684.82, 690.25]"
319,266,220,2959796770,0.7541061140117744,0.7263499079536815,0.38125,0.7036048064085447,11,202.95370588684455,"[825.85, 752.98, 690.25]"
363,227,223,1188769246,0.7367278513736577,0.7288895036021064,0.44375,0.6445676833879506,11,207.77964360406622,"[886.84, 699.77, 694.33]"
365,214,224,2907754020,0.6901785714285714,0.6765476190476191,0.475,0.6475995914198162,11,207.94452051492408,"[889.63, 682.11, 695.69]"
370,225,231,369006128,0.7321525584662911,0.7140648568621281,0.45625,0.6401468788249693,11,202.4281557528302,"[896.59, 697.05, 705.21]"
371,260,244,2281200962,0.7828295419745428,0.7567281241084352,0.33125,0.7596034696406444,11,202.42503112135455,"[897.98, 744.77, 722.92]"
347,246,221,2692556207,0.732440081591025,0.7028216896141425,0.43125,0.6576953227070813,11,205.51575543684885,"[864.61, 725.65, 691.61]"
356,252,219,304656105,0.7919384145167501,0.7782306908612502,0.31875,0.769630914045083,11,208.5169115262106,"[877.11, 733.84, 688.9]"
364,231,224,2949106426,0.7452683097935404,0.743847134758692,0.41875,0.6745341614906832,11,202.65242522582412,"[888.23, 705.21, 695.69]"
364,231,223,2477689408,0.7831857474172464,0.7726298404666525,0.35,0.7184567257559958,11,203.92258456582204,"[888.23, 705.21, 694.33]"
366,281,225,257395547,0.7578866729713691,0.7545531387529051,0.35625,0.7558617355571671,11,205.72168282419443,"[891.02, 773.54, 697.05]"
337,234,215,1345262716,0.7355973342109594,0.7169518951236904,0.43125,0.6499078704922348,11,203.77549535082653,"[850.75, 709.29, 683.47]"
363,232,225,2089751260,0.8074090321907488,0.8012229983177879,0.30625,0.7590667004818665,11,202.69814541516826,"[886.84, 706.57, 697.05]"
365,231,225,912806738,0.7727999848944095,0.766602601923608,0.325,0.7711088504577823,11,207.05216182768345,"[889.63, 705.21, 697.05]"
364,262,223,1744036657,0.7268728427670917,0.719336909140996,0.38125,0.7443685143001773,12,203.91955872485414,"[888.23, 747.5, 694.33]"
361,243,263,1325161385,0.7680023967551622,0.745473820058997,0.35625,0.7476421106296203,12,204.2570124170743,"[884.06, 721.56, 748.87]"
347,245,227,298158312,0.782013471775292,0.7653921650100107,0.36875,0.7094611373230693,12,202.65995644312352,"[864.61, 724.28, 699.77]"
395,232,222,3216474522,0.7083046566009411,0.6838765553278097,0.46875,0.6262920752716671,12,200.8780459431,"[931.48, 706.57, 692.97]"
355,252,219,1352838024,0.7771385941644563,0.7726016799292662,0.35,0.7418073485600793,12,201.13190216897056,"[875.72, 733.84, 688.9]"
